('44198C2A811A4DF4', [2, 2, 4, 4, 0, 0, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 5, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 4, 4, 2, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2])
('216F638609E0E39E', [3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 3, 3, 3, 5, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3])
('FFFCEFB11E257364', [0, 0, 4, 0, 4, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 1, 1, 0, 0, 0, 0, 0, 5, 4, 4, 2, 2, 0, 5, 5, 0, 5, 5, 0, 0, 0, 0, 4, 4, 0, 0, 5, 5, 4, 2, 4, 4, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 0, 0, 0, 0])
('596C5C8CE10BCF', [2, 2, 2, 3, 3, 3, 2, 3, 3, 1, 3, 6, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 1, 3, 2, 6, 6, 1, 3, 1, 3, 3, 3, 3])
('F931B9FA2A8641D1', [4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 3, 1, 3, 4, 3, 1, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 2, 4, 4, 4, 4])
('40DAB608E9BB39DD', [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4])
('B2B65732D8736C6C', [3, 3, 3, 3, 2, 3, 1, 3, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 1, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 2, 5, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3])
('BB69C4F75EF7BF6D', [3, 3, 3, 0, 0, 3, 0, 0, 3, 3, 3, 3, 5, 3, 0, 3, 0, 0, 0, 0, 2, 3, 0, 0, 3, 3, 2, 3, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 0, 2, 0, 5, 5, 3, 3, 3, 3, 3, 3, 5, 3, 0, 0, 0, 0])
('73877546C8B7D956', [3, 3, 3, 3, 3, 3, 5, 3, 1, 1, 3, 1, 5, 3, 1, 3, 1, 3, 1, 1, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 3, 3, 5, 3, 5, 5, 1, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1])
('228E4D7314BC2839', [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 4, 2, 4, 3, 2, 2, 2, 2])
('551BFF44309E8B18', [6, 4, 4, 4, 6, 6, 1, 6, 4, 6, 1, 6, 4, 6, 6, 6, 6, 6, 4, 4, 6, 6, 6, 6, 4, 6, 6, 6, 4, 6, 6, 4, 6, 6, 4, 4, 6, 6, 1, 4, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 6, 4, 6, 6, 6, 0, 6, 4, 1, 6, 1, 1, 1, 1])
('B18FB9ABFEFF7CD1', [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0])
('C2C4DA06F625CEA8', [5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 0, 0, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5])
('762B30B5130B6EF3', [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3])
('5A0A7A3E79CA448C', [0, 0, 5, 5, 5, 5, 0, 0, 1, 1, 0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 5, 0, 5, 0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 1, 5, 5, 0, 0, 5, 0])
('97C0B6CDEA7B8D0F', [1, 1, 4, 4, 4, 4, 1, 0, 4, 4, 5, 5, 5, 0, 5, 1, 4, 4, 1, 1, 5, 4, 4, 5, 1, 0, 4, 5, 1, 1, 4, 4, 4, 4, 5, 0, 1, 1, 1, 1, 1, 1, 4, 1, 1, 5, 1, 4, 1, 0, 4, 1, 4, 4, 5, 0, 4, 1, 5, 4, 1, 1, 1, 1])
('556F2DA6F9A4C36E', [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2])
('733C1A5A045EAB7E', [2, 2, 3, 1, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0, 1, 2, 2, 3, 3, 1, 1, 3, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 1, 1, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 2, 2, 2, 2])
('01B39106F8199EDC', [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])
('CB0A22127EE6A0E0', [2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 2, 0, 2, 0, 2, 2, 2, 5, 2, 0, 2, 2, 2, 2, 2, 5, 5, 2, 2, 2, 2])
('8DDEDCAAABFC44E5', [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2])
('48E25C9D9F11A229', [3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3])
('0B8310A5B2D2A6A2', [5, 0, 0, 0, 3, 3, 0, 0, 0, 5, 3, 3, 0, 0, 0, 0, 0, 0, 5, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 5, 0, 0, 3, 5, 2, 0, 0, 0, 0, 5, 5, 0, 5, 3, 3, 3, 3, 0, 0, 5, 5, 5, 5, 3, 3, 0, 3])
('EA301094DE57B7DD', [5, 5, 6, 6, 2, 0, 2, 2, 1, 1, 2, 6, 2, 2, 5, 2, 2, 6, 2, 6, 5, 5, 2, 2, 2, 2, 2, 2, 5, 5, 2, 6, 3, 2, 3, 2, 5, 6, 2, 2, 3, 6, 5, 5, 2, 6, 2, 6, 1, 1, 2, 6, 0, 0, 5, 2, 2, 2, 1, 2, 5, 5, 2, 5])
('A24D46FCA46905C8', [3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 5, 3, 3, 3, 2, 3, 3, 3, 2, 3, 5, 3, 3, 3, 3, 3, 3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 3, 2, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 2, 3, 5, 3, 3, 5])
